fotang_id,location_name,location_mandarin_name,latitude,longitude,area,country_iso,localityId,street,postal_code
1,Vihara Tanjung Duren (Nurani Maitreya),天宏佛堂,,,Korwil_3,IDN,25639,Jl. Alpukat 2 No.6-7 RT.2/RW.2,11470
2,Vihara Duta Mas (Pusdiklat Buddhis Maitreyawira),天真佛堂,,,Korwil_3,IDN,25643,Jl. Taman Duta Mas No.55 RT.5/RW.12,11460
3,Vihara Angke (Berkah Maitreya),天基佛堂,,,Korwil_3,IDN,25659,Jl. Angke Jaya II No. 35 RT.010/RW. 006,11330
4,Vihara Cengkareng Elok (Elok Maitreya),天增佛堂,,,Korwil_3,IDN,25637,Perumahan Cengkareng Elok Jl. Nusa Raya Blok G No. 2 RT.09/RW.02,11730
5,Vihara Cengkareng Indah (Maitreya Raya),天公佛堂,,,Korwil_3,IDN,25636,Jl. Melati Indah Raya No. 11,11720
6,Vihara Citra Garden (Citra Maitreya),天化佛堂,,,Korwil_3,IDN,25632,Citra Garden II Blok E1 No.12,11830
7,Vihara Lubuklinggau (Aditya Maitreya),德重佛堂,,,Korwil_5,IDN,20496,Jl. Maluku No. 90,31613
8,Vihara Palembang (Maha Vihara Maitreya Duta),善明佛堂,,,Korwil_5,IDN,20347,Jl. Semeru No.1166,30124
9,Vihara Fatmawati (Rahmat Agung Maitreya),天顯佛堂,,,Korwil_3,IDN,25724,Jl. Fatmawati No.15 Komp. Golden Plaza Blok J12,12430
10,Vihara Grogol (Dhyana Maitreya),慧定佛堂,,,Korwil_3,IDN,25638,Jl. Susilo II  No. 353,11450
11,Vihara Jelambar (Pahala Maitreya),寶智佛堂,,,Korwil_3,IDN,25643,Jl. Jelambar Utama Raya No.12,11460
12,Vihara Kalideres (Samudra Maitreya),天宗佛堂,,,Korwil_3,IDN,25671,Perum Kalideres Permai Blok B6 No.7,11840
13,Vihara Kartini (Maitreya Abadi),慧永佛堂,,,Korwil_3,IDN,25565,Jln. Kartini IV Dalam  No.32,10750
14,Vihara Kelapa Gading (Bumi Maitreya),天光佛堂,,,Korwil_3,IDN,25629,Jl. Sumagung III Blok E3 No. 4,14240
15,Vihara Kemanggisan (Ajita Maitreya),慧勝佛堂,,,Korwil_3,IDN,25676,Jl. U No. 17D,11480
16,Vihara Kemenangan (Sariputra Maitreya),盛明佛堂,,,Korwil_3,IDN,25651,Jl. Kemenangan III No. 126,11120
17,Vihara Kemayoran (Nirmala Maitreya),天心佛堂,,,Korwil_3,IDN,25566,Jl. Sentani Blok M No.6 RT.003/RW.007,10720
18,Vihara Kemurnian (Sariputra Maitreya),佛明佛堂,,,Korwil_3,IDN,25651,Jl. Kemurnian V No. 5A,11120
19,Vihara Muara Karang (Indra Maitreya),明昌佛堂,,,Korwil_3,IDN,25605,Muara Karang Blok C7 Selatan 16,14450
20,Vihara Pademangan II (Abdi Maitreya),天振佛堂,,,Korwil_3,IDN,25626,Jl. Pademangan II Gg. XV No.37,14410
21,Vihara Pademangan III (Mustika Maitreya),慧源佛堂,,,Korwil_3,IDN,25626,Jl. Pademangan III Gg. XI No. 11A ,14410
22,Vihara Pademangan IV (Kasih Maitreya),天瑞佛堂,,,Korwil_3,IDN,25626,Pademangan IV Gg. 27 No 23,14410
23,Vihara Palem Mutiara (Mutiara Maitreya),慈禮佛堂,,,Korwil_3,IDN,25637,Ruko Mutiara Palem Blok C5/28 - 30 Jl. Kamal Raya Outer Outer Ring Road,11730
24,Vihara Palmerah (Adhi Maitreya),順明佛堂,,,Korwil_3,IDN,25676,Jl. Kemandoran I No. 11,12210
25,Vihara Pantai Indah Kapuk (Pantai Indah Maitreya),天如佛堂,,,Korwil_3,IDN,25602,Bukit Golf Mediterania PIK Rukan Eksklusive Blok D No. 32 Jl. Marina Raya,14470
26,Vihara Pluit (Maitreya Sakti),慧成佛堂,,,Korwil_3,IDN,25605,Jl. Pluit Sakti IV No. 8,14450
27,Vihara Senen (Maitreya Jaya),聖德佛堂,,,Korwil_3,IDN,25579,Jl. Kramat Soka No.19,10450
28,Vihara Sunter (Maitreya Agung),明佛佛堂,,,Korwil_3,IDN,25611,Jl. Danau Sunter Utara Nirwana Sunter Asri ,14350
29,"Vihara Sunter, RS Royal Progress (Nirwana Maitreya)",天開佛堂,,,Korwil_3,IDN,25611,Sunter Agung Podomoro Blok G1 No. 24,14350
30,Vihara Taman Kencana (Kencana Maitreya),天華佛堂,,,Korwil_3,IDN,25673,Perum. Taman Kencana Blok C1 No.1A,11730
31,Vihara Taman Palem (Anugerah Maitreya),天輔佛堂,,,Korwil_3,IDN,25675,Permata Taman Palem Blok D1 No. 38,11830
32,Vihara Taman Ratu (Khsanti Maitreya),天宣佛堂,,,Korwil_3,IDN,25668,Perum.Taman Ratu blok A2 No.10 Jl.Daan Mogot,11510
33,Vihara Taman Semanan (Arya Maitreya),慧玲佛堂,,,Korwil_3,IDN,25672,Taman Semanan Indah Blok D10  No. 37,11850
34,Vihara Tambora (Maitreya Tambora),真光佛堂,,,Korwil_3,IDN,25653,Jl. Tambora No. 58A,11220
35,Vihara Tanjung Priok (Buddha Maitreya),覺明佛堂,,,Korwil_3,IDN,25615,Jl. Dukuh 1H,14270
36,Vihara Teluk Gong (Karuna Maitreya),明光佛堂,,,Korwil_3,IDN,25604,Jl. 21 No. 325,14450
37,Vihara TPI (Permata Maitreya),天理佛堂,,,Korwil_3,IDN,25604,Taman Permata Indah Blok PG  No. 7,14450
38,Vihara Bekasi Barat (THI) (Harapan Maitreya),慧華佛堂,,,Korwil_3,IDN,30831,Taman Harapan Indah Blok JA No. 4,17131
39,Vihara Bekasi Selatan (Satya Maitreya),慧能佛堂,,,Korwil_3,IDN,31564,Jl. Surya B 379 Komplex Mas Naga,17146
40,Vihara Bekasi Timur (Taman Kota) (Dharma Maitreya),慧法佛堂,,,Korwil_3,IDN,31547,Perum. Taman Kota Blok A4  No. 29 RT 016 RW 003,17112
41,Vihara Cikarang (Meikarta),慧佈佛堂,,,Korwil_3,IDN,30981,Jln Gn Tangkuban Perahu Cosmos Centre B.33,17530
42,Vihara Alam Sutera (Sinar Kasih Maitreya),博明佛堂,,,Korwil_3,IDN,50635,Jalur Sutera Blok E No. 11 Perumahan de Mansion,15143
43,Vihara BSD (Damai Maitreya),慧群佛堂,,,Korwil_3,IDN,50769,Jl. Han Juang No.8 Bumi Serpong Damai,15310
44,Vihara Budi Indah (Budi Maitreya),天達佛堂,,,Korwil_3,IDN,50570,Perumahan Budi Indah Jl. Kerinci No 15 - 16 Type Maisonete,15122
45,Vihara Cimone (Cimone Maitreya),天茂佛堂,,,Korwil_3,IDN,50602,"Jl. Cimone Permai Raya I No. 28, Perum Cimone Permai",15138
46,Vihara Saluyu (Maitreya Raya),天國佛堂,,,Korwil_3,IDN,50139,Cluster Kusuma Dwipa Citra Raya Blok H1 No. 7,15710
47,Vihara Dadap Indah (Parama Maitreya),慧開佛堂,,,Korwil_3,IDN,50089,Perumahan Dadap Indah Blok A2 No. 6,15213
48,Vihara Duta Garden (Duta Maitreya),慧関佛堂,,,Korwil_3,IDN,50579,Perum. Duta Gardenia Blok A7 No. 14,15124
49,Vihara Gading Serpong (Dhammacitta Maitreya),慧興佛堂,,,Korwil_3,IDN,50183,"Jl. Raya Kelapa Dua Ruko Paramount Centre Blok D No. 2.3.5, RT. 001 / RW. 010",15810
50,Vihara Grand Duta (Grand Duta Kasih Maitreya),慈勝佛堂,,,Korwil_3,IDN,50616,Ruko Dolomite Blok DA8 No.15 & 16 RT.006 RW.019 Duta Indah Residence Jl. Raya Grand Duta Tangerang,15131
51,Vihara Kedaung Baru (Puspa Sari Maitreya),慧公佛堂,,,Korwil_3,IDN,50631,"Jl. Iskandar Muda Gg. Isabella, No. 32 RT. 007/ RW.003",15128
52,Vihara Metro Permata (Metta Maitreya),慈道佛堂,,,Korwil_3,IDN,50644,Ruko Perumahan Metro Permata I Blok A2 No. 2,15157
53,Vihara Perumnas / Karawaci (Pesona Maitreya),天佈佛堂,,,Korwil_3,IDN,50185,"Jl. Tembaga No. 26, Perum III Karawaci",15138
54,Vihara Poris (Poris Indah Maitreya),慧輔佛堂,,,Korwil_3,IDN,50582,Perumahan Poris Indah Jl. Pinus Raya Blok E no. 1178-1179. RT. 009/010,15148
55,Vihara Regency (Sarira Maitreya),慧謙佛堂,,,Korwil_3,IDN,50066,Jl. G. Sundoro III GB 8 No. 2 Perumahan Regency,15560
56,Vihara Taman Cibodas (Citta Maitreya),志浩佛堂,,,Korwil_3,IDN,50617,Perumahan Taman Cibodas Blok A5 No.18,15132
57,Vihara Tangerang Kota (Ratana Maitreya),明德佛堂,,,Korwil_3,IDN,50560,Jl. Marga No. 21A,15118
58,Vihara Tanjung Kait (Tanjung Maitreya),慧廣佛堂,,,Korwil_3,IDN,50031,Jl. Raya Tg Kait RT 04 RW 03 Margamulya 24 Mauk 130 Belakang Komplek Auri Satuan Radar 201,15330
59,Vihara Tiga Raksa (Maju Maitreya),天進佛堂,,,Korwil_3,IDN,49971,Jl Syekh Mubarok No.38 RT.04/RW.04,15720
60,Vihara Villa Bandara (Bandara Maitreya),天仙佛堂,,,Korwil_3,IDN,50088,Perum Villa Taman Bandara Blok E I No. 25,15211
61,Vihara Binong (Ksatria Maitreya),慧義佛堂,,,Korwil_3,IDN,25924,RT 05/04 Desa Iwul Kampung Binong,16330
62,Vihara Bogor (Dharma Surya Maitreya),精誠佛堂,,,Korwil_3,IDN,31302,Jl. Roda no.94 B,16126
63,Vihara Bogor (Pusdiklat Kasih Alam),天彰佛堂,,,Korwil_3,IDN,26154,Jl. Kapten Yusuf Kota Batu RT.3/RW.10 Ciapus - Belakang Olala,16610
64,Vihara Depok (Dunia Satu Keluarga),天濟佛堂,,,Korwil_3,IDN,31603,Jl. Cempaka no. 2 (bangunan 3 lantai proyek samping gereja),16432
65,"Vihara Kracak, Bogor (Dharma Maitreya)",慧道佛堂,,,Korwil_3,IDN,26197,RT 002/07 Desa Rancabungur Kampung Kracak,16250
66,Vihara Bandung (Maitreya Datu),瑞明佛堂,,,Korwil_3,IDN,31479,Jl. Kebon Sirih No.17,40117
67,Vihara Bandung (Prajna Maitreya),慧益佛堂,,,Korwil_3,IDN,27035,Taman Kopo Indah II C3 No. 21,40218
68,Vihara Cirebon (Bodhidharma Maitreya),禮明佛堂,,,Korwil_3,IDN,31532,Jl. Panjunan No. 87,45112
69,Vihara Garut (Maitreya Jaya),慧宏佛堂,,,Korwil_3,IDN,27286,Jl. Pasir Pogor No. 9,44118
70,Vihara Sukabumi (Metta Maitreya),義德佛堂,,,Korwil_3,IDN,31357,Jl. Lettu Sobri No. 2,43131
71,Vihara Tasikmalaya (Nirvana Maitreya),天登佛堂,,,Korwil_3,IDN,27921,Jl. PS. Kidul  Ruko Mall Mayasari No. 59,46197
72,Vihara Semarang (Semesta Maitreya),慧山佛堂,,,Korwil_3,IDN,40128,Jl. Kalimas Raya No. 61A,50178
73,Vihara Yogyakarta (Bodhicitta Maitreya),普光佛堂,,,Korwil_3,IDN,40747,Jl. Kemetiran No. 9,55272
74,Vihara Yogyakarta (Pusdiklat Sukhavati Maitreya),慧力佛堂,,,Korwil_3,IDN,40676,Jl. Babasari Gg. Purisari No. 11,55281
75,Vihara Tanjung Pandan (Mudita Maitreya),明中佛堂,,,Korwil_5,IDN,24822,Jl. Anwar Aid No.19 Tanjungpandan,33411
76,Maha Vihara dan Pusdiklat Buddha Maitreya Surabaya,天寶彌勒佛院,,,Korwil_1,IDN,49200,Jl. Dukuh Kupang Utara I No. 2-4,60225
77,Vihara Surabaya (Karuna Persada Maitreya),,,,Korwil_1,IDN,49213,Jl. Raya Tenggilis 133A,60292
78,Vihara Surabaya (Jaya Maitreya),,,,Korwil_1,IDN,49116,Jl. Kedung doro 105,60261
79,Vihara Surabaya (Maitreya Jayanti),,,,Korwil_1,IDN,49200,Jl. Kupang Indah VIII / 16,60225
80,Vihara Surabaya (Kerto Maitreya),,,,Korwil_1,IDN,49101,Jl. Siwalan Kerto Permai J23-24,60236
81,Vihara Surabaya (Mudita Maitreya),,,,Korwil_1,IDN,49151,Jl. Taman Simolawang Baru Selatan 20,60143
82,Vihara Surabaya (Sinar Bodhi Maitreya),,,,Korwil_1,IDN,49156,Jl. Bunguran 9,60161
83,Vihara Surabaya (Sinar Netral Maitreya),,,,Korwil_1,IDN,49119,Jl Petemon Gang 3 No. 185 A,60252
84,Vihara Surabaya (Sinar Purnama Maitreya),,,,Korwil_1,IDN,49160,Jl. Tambak Bayan Tengah  10-12,60174
85,Vihara Rogojampi (Maitreya Hui Gui),,,,Korwil_1,IDN,43218,Rogojampi,68462
86,Vihara Malang (Buddha Maitreya),,,,Korwil_1,IDN,48950,Jl. Laksamana Martadinata 82,65118
87,Vihara Malang (Sinar Terang Maitreya),,,,Korwil_1,IDN,48980,Jl. Ikan Paus II / 2-4 Blimbing,65142
88,Vihara Mojokerto (Panna Maitreya),,,,Korwil_1,IDN,49060,Jl. Majapahit 162,61323
89,Vihara Jombang (Sinar Terang Maitreya),,,,Korwil_1,IDN,45164,Jl. RE. Martadinata No. 93,61419
90,Vihara Kediri (Metta Maitreya),,,,Korwil_1,IDN,48882,Jl. Yos Sudarso 100,64129
91,Vihara Madiun (Aditya Maitreya),,,,Korwil_1,IDN,49082,Jl. Panglima Sudirman 64,63153
92,Vihara Pasuruan (Bahtera Maitreya),,,,Korwil_1,IDN,49037,Jl. Lombok 34A,67132
93,Vihara Lumajang (Sariputra Maitreya),,,,Korwil_1,IDN,42754,Jl. Jendral Sutoyo 7,67316
94,Vihara Jember (Jagatnata Maitreya),,,,Korwil_1,IDN,43016,Jl. Raya Sultan Agung VIII/10-12,68131
95,Vihara Bondowoso (Ariya Maitreya),,,,Korwil_1,IDN,43443,Jl. Yos Sudarso 132,68212
96,Vihara Situbondo (Prajna Bavana Maitreya),,,,Korwil_1,IDN,43609,Jl. Basuki Rahmat 15 (Kel.Membaan IV),68323
97,Vihara Banyuwangi (Sinar Cahaya Maitreya),,,,Korwil_1,IDN,43252,Ds.Kepatihan Kec.Kota Banyuwangi,68411
98,Vihara Banyuwangi (Sinar Buddha Maitreya),,,,Korwil_1,IDN,43188,Jl. Pasar 31,68462
99,Maha Vihara dan Pusdiklat Buddha Maitreya Denpasar,神平佛堂,,,Korwil_1,IDN,51520,"Jl. Gunung Soputan 88X",80361
100,Vihara Denpasar (Vimala Maitreya),,,,Korwil_1,IDN,51533,Jl. Dr Sutomo VIII / 5,80118
101,Maitreya Center Tabanan (Hui Mu),,,,Korwil_1,IDN,50922,Jl. Blambangan 11A,82121
102,Maitreya Center Kuta (Hui Ci),,,,Korwil_1,IDN,51041,Jl. Nakula 18B,80361
103,Maitreya Center Singaraja (Hui Deng),,,,Korwil_1,IDN,51450,Jl. Toya Anakan III No.33,81119
104,Maitreya Center Negara (Hui Xia),,,,Korwil_1,IDN,50823,Jl. Arjuna 8A,82218
105,Maitreya Center Jimbaran (Hui Mu),,,,Korwil_1,IDN,51058,Jimbaran,80361
106,Vihara Cakranegara (Sanata Dharma Maitreya),,,,Korwil_1,IDN,52641,Jl. Rajawali II / 16,83239
107,Vihara Ampenan (Prajna Dharma Maitreya),,,,Korwil_1,IDN,52622,Jl. Yos Sudarso 126,83511
108,Vihara Semarang (Mahabodhi Maitreya),光明佛堂,,,Korwil_2,IDN,40137,Jl. Ligu Utara 476-477,50124
109,Vihara Semarang (Dharma Cakra Maitreya),,,,Korwil_2,IDN,40251,Perum. Semarang Indah Blok A7 Jl. Madukoro,50144
110,Vihara Solo (Maitreya Muni),,,,Korwil_2,IDN,40058,Jl. A.R. Hakim No. 73,57129
111,Vihara Pemalang (Parama Maitreya),,,,Korwil_2,IDN,39313,Jl. Pemuda,52313
112,Vihara Salatiga (Iman Maitreya),,,,Korwil_2,IDN,40090,Jl. Kenangasari No. 7 Butuh,50742
113,Vihara Pekalongan (Dharma Cakra Maitreya),,,,Korwil_2,IDN,40193,Jl. Blimbing No. 88,51126
114,Vihara Tegal (Kshanti Maitreya),,,,Korwil_2,IDN,40322,Jl. Veteran No. 51,52111
115,Vihara Cilacap (Karuna Maitreya),,,,Korwil_2,IDN,32042,Jl. RE. Martadinata No. 57B,53211
116,Vihara Purwokerto (Bhavana Maitreya),,,,Korwil_2,IDN,32386,Jl. Baturaden KM5,53124
117,Maha Vihara Maitreya Medan,慈光佛院,,,Korwil_4,IDN,8251,Jl. Boulevard Utara No.8,20371
118,Maha Vihara Vidya Maitreya Siantar,,,,Korwil_4,IDN,12271,Jl. Ade Irma Suryani No.10,21146
119,Vihara Medan (Maha Maitreya),,,,Korwil_4,IDN,12172,Jl. Gandhi No. 224,20214
120,Vihara Medan (Kshanti Maitreya),,,,Korwil_4,IDN,12107,Jl. Thamrin No. 224,20211
121,Vihara Medan (Swara Maitreya),,,,Korwil_4,IDN,12223,Jl. Malaka No.82,20233
122,Vihara Medan (Sutta Maitreya),,,,Korwil_4,IDN,12130,Jl. Selam I/Industri No. 26 A,20226
123,Vihara Medan (Prajna Maitreya),,,,Korwil_4,IDN,12136,Jl. Mesjid No. 2,20231
124,Vihara Medan (Lokottara Maitreya),,,,Korwil_4,IDN,12239,Jl. Sutomo No. 444/ 69,20232
125,Vihara Medan (Dhyana Maitreya),,,,Korwil_4,IDN,12233,Jl. Bakau No.6G d/h No. 10-12,20111
126,Vihara Sambu Baru (Cahaya Maitreya),,,,Korwil_4,IDN,12140,Jl.Danau Batur Lrg II 40,20114
127,Vihara Kp. Anggrung (Maitreya Abadi),,,,Korwil_4,IDN,12213,Jl. Ternak No. 5,20157
128,Vihara T. Kuning (Siddhi Prajna Maitreya),,,,Korwil_4,IDN,12183,Jl. Brij.katamso Gg. Sahabat No. 92 J ,20219
129,Vihara T. Kuning (Prajna Maitreya),,,,Korwil_4,IDN,12183,Jl. Gg. Sado  No.131 A LK.VI ,20219
130,Vihara T. Kuning (Dirgha Maitreya),,,,Korwil_4,IDN,12183,"Komp. Kimsa Baru No.37-38, Km 6,8",20147
131,Vihara Tg. Mulia (Abdi Maitreya),,,,Korwil_4,IDN,12246,Jl. Perwira IV No.36-37,20241
132,Vihara P. Brayan (Maitreya Yana),,,,Korwil_4,IDN,12139,Jl. Pertempuran No.11D,20239
133,Vihara K. Bangun (Karunia Maitreya),,,,Korwil_4,IDN,12145,"Jl. K.L.Y. Sudarso Km.10,5 Ling.V No. 2F",20242
134,Vihara Titi Papan (Maitreya Loka),明貴佛堂,,,Korwil_4,IDN,12142,"Jl. Platina, Lorong 36, D. Rengas Pulau",20251
135,Vihara S. Kantor (Pelita Maitreya),,,,Korwil_4,IDN,12193,Jl. Flores Dalam,20252
136,Vihara Belawan (Mitra Maitreya),,,,Korwil_4,IDN,12157,Jl. Sumatera No. 51,20411
137,Vihara Kp. Lalang (Maitreya Duta),,,,Korwil_4,IDN,12117,Jl. Pinang Baris II G.Petisah 11B,20126
138,Vihara KM12 (Purnama Maitreya),慧圓佛堂,,,Korwil_4,IDN,8196,Jl. Mawar No.73 Desa Purwodadi,20351
139,Vihara Sunggal (Maitreya Sakti),,,,Korwil_4,IDN,12119,Jl. Pasar I No. 1,20128
140,Vihara Binjai (Bodhi Maitreya),,,,Korwil_4,IDN,12372,Jl. Dewi Sartika No. 2-4,20742
141,Vihara Brahrang (Sanatha Maitreya),,,,Korwil_4,IDN,12373,Jl. Rambutan 31/16,20716
142,Vihara Kuala (Maitreya Agung),,,,Korwil_4,IDN,7421,Jl. Multatuli 7,20772
143,Vihara Tandam (Pahala Maitreya),,,,Korwil_4,IDN,8221,Jl.Pasar VII 34,20374
144,Vihara Stabat (Citra Maitreya),,,,Korwil_4,IDN,7474,Jl.Desa perdamaian Ling.III  no. 73,20811
145,Vihara T. Pura (Mandalapura Maitreya),,,,Korwil_4,IDN,7530,"Jl.Langkat,Lr Tengah 26",20853
146,Vihara P. Brandan (Kshanti Maitreya),,,,Korwil_4,IDN,7574,Jl.Mesjid 74,20857
147,Vihara Kabanjahe (Mandalagiri Maitreya),,,,Korwil_4,IDN,7662,Jl.Let.Rata Perangin-Angin 10,22111
148,Vihara Sidikalang (Siddhi Maitreya),,,,Korwil_4,IDN,9042,Jl.Barisan Nauli PO.BOX 53,22217
149,Vihara T. Morawa (Adhi Maitreya),,,,Korwil_4,IDN,7947,Komplek Prima Jl.Perintis Kemerdekaan,20362
150,Vihara L. Pakam (Sasana Maitreya),,,,Korwil_4,IDN,8275,Jl.Tengku Fachruddin 1A,20518
151,Vihara Galang (Cakra Maitreya),,,,Korwil_4,IDN,8153,Jl.Bukit Barisan 91,20585
152,Vihara Pantai Labu (Bahagia Maitreya),,,,Korwil_4,IDN,8301,Jl.Dusun III,20553
153,Vihara Perbaungan (Satya Maitreya),,,,Korwil_4,IDN,10671,Jl.Kabupaten 20,20986
154,Vihara Sei Rampah (Bahtera Maitreya),,,,Korwil_4,IDN,10714,Jl.Stasiun 23 A,20995
155,Vihara T. Tinggi (Maitreya Dharma),,,,Korwil_4,IDN,12425,Jl.Bandar Sakti/Badak 54,20998
156,Vihara Indrapura (Maitreya Pura),,,,Korwil_4,IDN,10931,Jl.Merdeka 79,21256
157,Vihara Perdagangan (Maitreya Kirti),,,,Korwil_4,IDN,8607,Jl.Veteran No.20,21184
158,Vihara Tg. Tiram (Pancaran Maitreya),,,,Korwil_4,IDN,10967,Jl. Nelayan No.74,21255
159,Vihara Kisaran (Maitreya Jaya),,,,Korwil_4,IDN,8844,Jl.Sisingamangaraja 171,21211
160,Vihara Tg. Balai (Bhakti Maitreya),,,,Korwil_4,IDN,12329,Jl.Mesjid 4,21314
161,Vihara Tg. Leidong (Karuna Graha Maitreya),,,,Korwil_4,IDN,11810,Jl. Sekolah No.3,21411
162,Vihara R. Prapat (Sila Maitreya),,,,Korwil_4,IDN,8945,Jl.Imam Bonjol 76,21411
